,Day,GHIP,GHIP2,GHIP3
298,299,15202800,16095600,16304400
299,300,15660000,15202800,16095600
300,301,15703200,15660000,15202800
301,302,15591600,15703200,15660000
302,303,12632400,15591600,15703200
303,304,14166000,12632400,15591600
304,305,13824000,14166000,12632400
305,306,15062400,13824000,14166000
306,307,16084800,15062400,13824000
307,308,15642000,16084800,15062400
308,309,15818400,15642000,16084800
309,310,15447600,15818400,15642000
310,311,15566400,15447600,15818400
311,312,15048000,15566400,15447600
312,313,15008400,15048000,15566400
313,314,14929200,15008400,15048000
314,315,14749200,14929200,15008400
315,316,14680800,14749200,14929200
316,317,14234400,14680800,14749200
317,318,14169600,14234400,14680800
318,319,13950000,14169600,14234400
319,320,14443200,13950000,14169600
320,321,14277600,14443200,13950000
321,322,14205600,14277600,14443200
322,323,14119200,14205600,14277600
323,324,13964400,14119200,14205600
324,325,13899600,13964400,14119200
325,326,13784400,13899600,13964400
326,327,13716000,13784400,13899600
327,328,13590000,13716000,13784400
328,329,13521600,13590000,13716000
329,330,13467600,13521600,13590000
330,331,13370400,13467600,13521600
331,332,13316400,13370400,13467600
332,333,12747600,13316400,13370400
333,334,13143600,12747600,13316400
334,335,13057200,13143600,12747600
335,336,13514400,13057200,13143600
336,337,13388400,13514400,13057200
337,338,13366800,13388400,13514400
338,339,13298400,13366800,13388400
339,340,13179600,13298400,13366800
340,341,13194000,13179600,13298400
341,342,13053600,13194000,13179600
342,343,13086000,13053600,13194000
343,344,13024800,13086000,13053600
344,345,12988800,13024800,13086000
345,346,12967200,12988800,13024800
346,347,12704400,12967200,12988800
347,348,6897600,12704400,12967200
348,349,5248800,6897600,12704400
349,350,11131200,5248800,6897600
350,351,12736800,11131200,5248800
351,352,12751200,12736800,11131200
352,353,11559600,12751200,12736800
353,354,8967600,11559600,12751200
354,355,11865600,8967600,11559600
355,356,10335600,11865600,8967600
356,357,9752400,10335600,11865600
357,358,11084400,9752400,10335600
358,359,11689200,11084400,9752400
359,360,10515600,11689200,11084400
360,361,12330000,10515600,11689200
361,362,12369600,12330000,10515600
362,363,11358000,12369600,12330000
363,364,12596400,11358000,12369600
364,365,12726000,12596400,11358000
